Cod_setor,Situacao_setor,V001,V109,V110
250110410000003,8,33,3,MULHER
250110410000004,8,130,3,MULHER
250110410000005,8,80,1,MULHER
250110415000001,1,280,0,MULHER
250110415000002,8,204,0,MULHER
250110415000003,8,99,0,MULHER
250110415000004,8,37,0,MULHER
250110415000005,8,23,0,MULHER
250110420000001,1,73,0,MULHER
250110420000002,8,55,2,MULHER
250110420000003,8,119,0,MULHER
250110420000004,8,178,7,MULHER
250110420000005,8,21,0,MULHER
250110420000006,8,85,0,MULHER
250110420000007,8,127,0,MULHER
250110420000008,8,67,1,MULHER
250115305000001,1,267,1,MULHER
250115305000002,5,84,3,MULHER
250115305000003,8,39,0,MULHER
250115305000004,8,57,0,MULHER
250115305000005,8,41,0,MULHER
250120305000001,1,336,0,MULHER
250120305000002,1,184,0,MULHER
250120305000003,1,325,0,MULHER
250120305000004,1,356,0,MULHER
250120305000005,8,113,0,MULHER
250120305000006,8,6,0,MULHER
250120305000007,8,96,0,MULHER
250120305000008,8,301,4,MULHER
250120305000009,1,247,0,MULHER
250130205000001,1,288,44,MULHER
250130205000002,1,220,1,MULHER
250130205000003,1,214,1,MULHER
250130205000004,1,187,0,MULHER
250130205000005,1,170,0,MULHER
250130205000006,1,237,0,MULHER
250130205000007,1,166,0,MULHER
250130205000008,1,227,0,MULHER
250130205000009,8,71,5,MULHER
250130205000010,8,30,0,MULHER
250130205000011,8,113,0,MULHER
250130205000012,8,181,0,MULHER
250130205000013,8,112,0,MULHER
250130205000014,8,234,0,MULHER
250130205000015,8,162,0,MULHER
250130205000016,8,190,3,MULHER
250130205000017,8,194,0,MULHER
250130205000018,8,172,3,MULHER
250130205000019,8,97,0,MULHER
250130205000020,8,82,0,MULHER
250130205000021,8,126,0,MULHER
250130205000022,8,79,0,MULHER
250130205000023,8,112,0,MULHER
250130205000024,8,185,5,MULHER
250130205000025,1,198,0,MULHER
250130205000026,1,218,0,MULHER
250130205000027,1,292,0,MULHER
250130205000028,5,48,0,MULHER
250130220000001,1,190,0,MULHER
250130220000002,8,171,0,MULHER
250130220000003,8,151,0,MULHER
250130220000004,8,2,X,DESCONHECIDO
250130220000005,8,90,X,DESCONHECIDO
250130220000006,1,225,0,MULHER
250135105000001,1,276,0,MULHER
250135105000002,1,231,0,MULHER
250135105000003,8,57,0,MULHER
250135105000004,8,117,0,MULHER
250135105000005,1,239,0,MULHER
250135105000006,1,126,0,MULHER
250140105000001,1,128,0,MULHER
250140105000002,1,200,0,MULHER
250140105000003,1,166,0,MULHER
250140105000004,1,256,0,MULHER
250140105000005,1,131,1,MULHER
250140105000006,7,47,0,MULHER
250140105000007,7,205,0,MULHER
250140105000008,7,189,0,MULHER
250140105000009,7,136,0,MULHER
250140105000010,7,45,0,MULHER
250140105000011,7,46,0,MULHER
250140105000012,7,45,0,MULHER
250140105000013,7,38,0,MULHER
250140105000014,7,291,0,MULHER
250140105000015,8,13,0,MULHER
250140105000016,8,22,0,MULHER
250140105000017,7,97,0,MULHER
250140105000018,7,22,0,MULHER
250140105000019,7,19,0,MULHER
250140105000020,7,12,0,MULHER
250150005000001,1,291,0,MULHER
250150005000002,1,202,0,MULHER
250150005000003,1,236,0,MULHER
250150005000004,1,249,0,MULHER
250150005000005,1,202,0,MULHER
250150005000006,1,286,8,MULHER
