Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108
250750705000927;1;147;0;0;0;0;0;1;0;0;0;1;1;3;1;0;3;3;1;3;2;1;3;3;5;4;0;4;4;6;3;2;9;7;4;5;5;7;1;4;1;2;4;2;2;3;2;0;2;1;1;2;2;4;4;0;2;2;3;1;1;0;1;2;2;0;0;0;0;0;2;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;139;0;2;8;10;15;19;29;13;13;6;10;6;4;3;1
250750705000928;1;117;0;0;0;0;0;0;0;1;1;1;2;1;3;1;1;0;0;0;2;5;1;0;0;4;4;4;2;3;1;4;2;0;0;1;2;1;3;4;4;2;3;4;4;2;5;0;2;2;1;4;1;3;2;3;0;3;4;0;0;0;3;0;2;1;1;0;0;2;1;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;77;0;3;7;6;8;11;4;7;12;7;4;4;3;1;0
250750705000929;1;98;0;1;0;0;0;0;1;0;1;1;0;1;4;0;2;4;0;2;6;3;4;4;3;3;2;1;3;2;1;3;2;0;3;1;3;2;3;4;0;0;4;2;1;0;0;1;0;1;0;4;1;1;0;0;0;1;1;1;2;2;1;2;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92;1;3;7;15;15;10;9;9;7;5;2;5;3;1;0
250750705000930;1;56;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;1;4;1;1;1;1;0;2;0;0;3;2;0;0;0;2;1;1;3;1;2;1;3;2;1;1;1;1;0;1;0;1;2;0;1;2;0;1;0;1;0;1;0;1;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56;0;0;1;9;4;5;7;9;4;4;4;3;3;1;2
250750705000931;1;69;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;2;0;6;2;0;1;2;0;4;4;4;2;3;1;1;3;3;1;0;2;1;2;0;0;1;3;1;1;2;1;1;1;0;1;0;1;1;0;1;1;0;1;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66;0;1;1;11;7;14;8;4;8;4;3;2;1;2;0
250750705000932;1;74;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;2;1;1;2;3;1;3;1;3;6;2;1;2;3;3;2;1;5;0;1;2;1;0;1;0;1;2;0;1;1;1;1;1;0;0;2;0;0;0;1;0;2;1;2;0;0;0;2;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;73;0;0;6;9;14;11;9;4;4;3;3;5;4;0;1
250750705000933;1;133;0;1;0;0;2;0;1;0;4;1;2;3;2;2;5;1;3;4;5;1;3;3;6;6;9;4;2;2;2;2;4;3;6;0;6;1;3;1;2;4;4;0;1;1;3;3;1;0;4;1;1;0;2;1;1;1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;123;3;6;14;14;26;10;19;11;8;7;3;1;0;1;0
250750705000934;1;104;0;1;0;0;1;0;0;0;1;1;0;0;4;1;2;1;2;2;2;2;2;1;4;2;2;4;4;2;1;2;5;3;3;1;1;5;3;4;2;4;2;4;3;1;1;0;2;1;1;1;0;0;4;2;0;1;2;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;81;2;2;6;9;9;13;10;12;6;3;5;3;0;1;0
250750705000935;1;109;0;0;0;0;0;0;0;0;0;1;0;0;3;2;1;1;1;2;3;3;1;5;0;2;0;8;6;1;1;2;1;2;2;5;3;4;0;1;5;2;1;3;4;2;2;2;4;2;1;0;0;3;1;1;2;1;1;1;1;1;2;2;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;108;0;1;6;10;7;18;13;12;12;9;7;5;5;0;3
250750705000936;1;54;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;1;0;2;2;0;4;1;0;0;1;0;4;2;2;0;1;1;3;4;0;1;1;2;2;1;1;1;1;1;0;2;2;1;0;0;1;2;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54;0;0;2;2;9;5;6;9;7;6;4;2;1;1;0
